Title,Company,Min. Years of Exp. Required,Fresh Grad,Location,Classification,Salary,Posted Date,Job ID,URL
"Group Digital, Business Analyst",Hong Kong Aircraft Engineering Co Ltd,5,True,"Airport Area, Islands District",Information & Communication Technology,,2024-07-17 14:00:00,77344899,https://hk.jobsdb.com/job/77344899
Business Analyst at ACT Solutions Limited,Jobsdb - SmartHire,1,,Southern District,Information & Communication Technology,,2024-07-16 22:00:00,76987834,https://hk.jobsdb.com/job/76987834
Business Analyst,Lively Impact Technology Limited,,,"Science Park, Tai Po District",Information & Communication Technology,"$25,000 - $34,000 per month",2024-07-17 13:00:00,77341887,https://hk.jobsdb.com/job/77341887
IT Business Analyst,FUJIFILM BI,2,,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,,2024-07-17 11:00:00,77338381,https://hk.jobsdb.com/job/77338381
Assistant Business Analyst / Business Analyst,Hong Kong Life Insurance Limited,3,True,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-17 15:00:00,77345435,https://hk.jobsdb.com/job/77345435
Data/Business Analyst / Assistant,新宇環保集團有限公司,,True,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,"$15,000 - $19,000 per month",2024-07-16 22:00:00,77322695,https://hk.jobsdb.com/job/77322695
Project Executive/ Associate Business Analyst,Million Tech Development Ltd,1,,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-17 12:00:00,77339809,https://hk.jobsdb.com/job/77339809
Leading insurance MNC - Business Analyst,Gravitas Recruitment Group (Hong Kong) Limited,4,,Central and Western District,Accounting,$25k - $40k p.m.,2024-07-17 16:00:00,77347712,https://hk.jobsdb.com/job/77347712
IT Technology Business Analyst/ ERP Consultant/ Project Specialist,Recreate System Limited,0,True,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-16 22:00:00,77319271,https://hk.jobsdb.com/job/77319271
Business Analyst - Large Digital Project - Attractive Salary,TEKsystems,4,,"Quarry Bay, Eastern District",Information & Communication Technology,"$35,000 - $50,000 per month",2024-07-17 12:00:00,77340273,https://hk.jobsdb.com/job/77340273
Business Analyst/ Senior Business Analyst,New World Development Co Ltd,2,,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-17 12:00:00,77340367,https://hk.jobsdb.com/job/77340367
