Title,Company,Min. Years of Exp. Required,Fresh Grad,Location,Classification,Salary,Posting Date,Job ID,URL
Business Analyst / Senior Business Analyst,PARKnSHOP (HK) Limited,4,TRUE,"Fo Tan, Sha Tin District",Retail & Consumer Products,,2024-06-29 18:00,76912887,https://hk.jobsdb.com/job/76912887
Business Analyst,Haitong International Management Services Company Limited,5,FALSE,Southern District,Information & Communication Technology,,2024-06-28 18:00,76891214,https://hk.jobsdb.com/job/76891214
Senior Business Analyst / Business Analyst,Chinachem Group,3,FALSE,Tsuen Wan District,Marketing & Communications,,2024-06-29 18:00,76586784,https://hk.jobsdb.com/job/76586784
"Business Analyst, Application System Team (5 days)",Delken Group Limited,5,TRUE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-27 18:00,76864431,https://hk.jobsdb.com/job/76864431
Business Analyst (Sales Tracking & Commission Calculation),HKT Consumer Business Group,1,FALSE,"Quarry Bay, Eastern District",Accounting,,2024-06-28 18:00,76895248,https://hk.jobsdb.com/job/76895248
IT Business Analyst - Agency Contractor,Chiyu Banking Corp Ltd,3,FALSE,"Central, Central and Western District",Information & Communication Technology,,2024-06-29 18:00,76913437,https://hk.jobsdb.com/job/76913437
Business Analyst,Nexify Limited,2,FALSE,Kwun Tong District,Information & Communication Technology,,2024-06-28 18:00,76910606,https://hk.jobsdb.com/job/76910606
P&C Business Analyst,Chubb Insurance Hong Kong Limited,2,FALSE,Eastern District,Information & Communication Technology,,2024-06-28 18:00,76351966,https://hk.jobsdb.com/job/76351966
Business Analyst,"Miramar Hotel and Investment Company, Limited",2,TRUE,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-06-28 18:00,76910684,https://hk.jobsdb.com/job/76910684
IT Business Analyst - MNC,Charterhouse Limited,2,FALSE,Hong Kong,Information & Communication Technology,,2024-06-28 18:00,76895795,https://hk.jobsdb.com/job/76895795
( Senior ) Business Analyst - Airline IT Project,Acton Consulting Limited,4,FALSE,Hong Kong,Information & Communication Technology,,2024-06-30 18:00,76936658,https://hk.jobsdb.com/job/76936658
Business Analyst (Digital Workplace Transformation),WCL Solution Limited,3,FALSE,"Cheung Sha Wan, Sham Shui Po District",Information & Communication Technology,,2024-06-28 18:00,76904303,https://hk.jobsdb.com/job/76904303
Digital Business Analyst,AXA Hong Kong,1,FALSE,"Wong Chuk Hang, Southern District",Information & Communication Technology,discretionary bonus,2024-06-21 18:00,76723839,https://hk.jobsdb.com/job/76723839
System Analyst,Green Light PS Pty Ltd,,FALSE,"Kowloon City, Kowloon City District",Information & Communication Technology,Competitive (AUD),2024-06-27 18:00,76865693,https://hk.jobsdb.com/job/76865693
Business Analyst,HGC Global Communications Limited,5,FALSE,"Tsing Yi, Kwai Tsing District",Information & Communication Technology,,2024-06-28 18:00,76434235,https://hk.jobsdb.com/job/76434235
Associated Director(Senior Manager) in Application development,Leadership Solutions Limited,,FALSE,Kwun Tong District,Information & Communication Technology,"$90,000 - $119,999 per month",2024-06-27 18:00,76883446,https://hk.jobsdb.com/job/76883446
Assistant Manager / Analyst (Long Term Business),Insurance Authority,3,FALSE,Southern District,Insurance & Superannuation,,2024-06-27 18:00,76858889,https://hk.jobsdb.com/job/76858889
Data Analytics Business Analyst - Wealth Management,Pinpoint Asia,,FALSE,"Admiralty, Central and Western District",Information & Communication Technology,"$70,000 - $90,000 per month",2024-06-24 18:00,76779121,https://hk.jobsdb.com/job/76779121
Project Manager (Insurance Business Operation),PI Business Consulting Limited,,FALSE,Yau Tsim Mong District,Information & Communication Technology,"$65,000 - $75,000 per month",2024-06-17 18:00,76621098,https://hk.jobsdb.com/job/76621098
Senior FinTech Project Manager - Prominent Financial Institution,Pinpoint Asia,1,FALSE,"Admiralty, Central and Western District",Information & Communication Technology,"$60,000 - $80,000 per month",2024-06-26 18:00,76820224,https://hk.jobsdb.com/job/76820224
Business Analyst,AT Global Services Limited,3,FALSE,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-06-27 18:00,76872490,https://hk.jobsdb.com/job/76872490
IT Project Manager,TEKsystems,,FALSE,Central and Western District,Information & Communication Technology,"$55,000 - $65,000 per month",2024-06-21 18:00,76745200,https://hk.jobsdb.com/job/76745200
(UP to 50K) Business Analyst (Banking and Government),Seamatch Asia Limited,1,TRUE,"Central, Central and Western District",Information & Communication Technology,"$50,000 - $60,000 per month",2024-06-26 18:00,76836626,https://hk.jobsdb.com/job/76836626
Business Analyst / Project Manager ( 20K - 55K ),Osmium Consulting Group Limited,2,FALSE,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-06-27 18:00,76880542,https://hk.jobsdb.com/job/76880542
"Business Analyst, Business Planning & Strategy (Leading Logistic/ Supply Chain)",Nesta (Hong Kong) Limited,2,FALSE,"Mong Kok, Yau Tsim Mong District","Manufacturing, Transport & Logistics","$30,000 - $32,000 per month",2024-06-28 18:00,76912306,https://hk.jobsdb.com/job/76912306
Business Analyst - Global MNC - ServiceNow ERP,TEKsystems,,FALSE,"Central, Central and Western District",Information & Communication Technology,"$45,000 - $55,000 per month",2024-06-25 18:00,76792597,https://hk.jobsdb.com/job/76792597
"Section Head, Business Analysis (Business System)",Bank of Communications Hong Kong Branch,8,FALSE,Hong Kong,Information & Communication Technology,,2024-06-29 18:00,76912933,https://hk.jobsdb.com/job/76912933
Business Analyst,ParaDM Company Limited,2,FALSE,Kwun Tong District,Information & Communication Technology,,2024-06-26 18:00,75548439,https://hk.jobsdb.com/job/75548439
Project Manager (IT Software Development),APJ Software (Hong Kong) Company Limited,,TRUE,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,"$45,000 - $54,999 per month",2024-06-24 18:00,76773492,https://hk.jobsdb.com/job/76773492
Data Analyst (Oracle preferred),Jobsdb - SmartHire,3,FALSE,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-06-27 18:00,76859731,https://hk.jobsdb.com/job/76859731
Graduate Business Valuation Analyst,Masterpiece Valuation Advisory Limited,,FALSE,"Sheung Wan, Central and Western District",Accounting,,2024-06-29 18:00,76929736,https://hk.jobsdb.com/job/76929736
"Business Analyst, Business Planning & Strategy",American Express International Inc.,3,FALSE,"Tai Koo, Eastern District",Banking & Financial Services,,2024-06-27 18:00,76858929,https://hk.jobsdb.com/job/76858929
Assistant Manager - Business Analysis & Support,Amway Hong Kong Ltd,5,FALSE,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-06-27 18:00,76859591,https://hk.jobsdb.com/job/76859591
Business Analyst - Global - Workday ERP,TEKsystems,,FALSE,"Central, Central and Western District",Information & Communication Technology,"$40,000 - $50,000 per month",2024-06-20 18:00,76711914,https://hk.jobsdb.com/job/76711914
Data Engineer (Power BI /up to $50K),PERSOLKELLY Hong Kong Limited,,TRUE,Kowloon City District,Information & Communication Technology,"$40,000 - $50,000 per month",2024-06-28 18:00,76907943,https://hk.jobsdb.com/job/76907943
Operations Analyst,KVB Trading (Hong Kong) Limited,,FALSE,"Admiralty, Central and Western District",Banking & Financial Services,,2024-06-29 18:00,76913062,https://hk.jobsdb.com/job/76913062
Business Analyst (IT Procurement),Computer Recruitment Consultants Ltd,3,TRUE,"Tsing Yi, Kwai Tsing District",Information & Communication Technology,,2024-06-27 18:00,76848420,https://hk.jobsdb.com/job/76848420
Assistant Project Manager (Microsoft Power Platform),Uni-China (Business) Management Limited,5,TRUE,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-06-27 18:00,76860609,https://hk.jobsdb.com/job/76860609
"Business Analyst / Software Support Engineer, $40-50K (Banking - Fidessa system)",Don Nelson Recruitment Limited,1,FALSE,"Central, Central and Western District",Information & Communication Technology,"$40,000 - $50,000 per month",2024-06-14 18:00,76580958,https://hk.jobsdb.com/job/76580958
Business Analyst - eCommerce,AS Watson Retail (HK) Limited,3,TRUE,"Whampoa Garden, Kowloon City District",Information & Communication Technology,,2024-06-25 18:00,76792908,https://hk.jobsdb.com/job/76792908
Major Bank: IT Business Analyst (Overseas Banking Projects),IT Solutions Ltd.,1,FALSE,Sha Tin District,Banking & Financial Services,,2024-06-27 18:00,76860129,https://hk.jobsdb.com/job/76860129
Senior Finance Analyst (Business Partnering Role),Informa Markets Asia Limited,5,FALSE,"Wan Chai, Wan Chai District",Accounting,,2024-06-27 18:00,76870218,https://hk.jobsdb.com/job/76870218
Business System Analyst / IT Development Group / (WFH Policy),Yusen Logistics Global Management Limited,5,FALSE,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-06-28 18:00,76900059,https://hk.jobsdb.com/job/76900059
"Business Analyst - Data Migration Project- HKD 35,000 - 55,000/Month",Techforce Group Limited,,FALSE,Hong Kong,Information & Communication Technology,"$35,000 - $50,000 per month",2024-06-21 18:00,76743829,https://hk.jobsdb.com/job/76743829
IT Project Manager (Application Specialist),ASK IT LIMITED,5,FALSE,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-06-28 18:00,76906187,https://hk.jobsdb.com/job/76906187
Business Analyst / Junior Business Analyst (Finance Team),Manulife (International) Limited,,FALSE,"Ngau Tau Kok, Kwun Tong District",Insurance & Superannuation,,2024-06-26 18:00,76832174,https://hk.jobsdb.com/job/76832174
"Business Analyst - Salesforce - HKD 40,000 - 50,000/Month + Bonus",Techforce Group Limited,5,FALSE,Hong Kong,Information & Communication Technology,"$40,000 - $50,000 per month",2024-06-25 18:00,76804476,https://hk.jobsdb.com/job/76804476
"AM, Business Analysis (MNC Healthcare / Tableau)",iTalent Company,5,FALSE,"Quarry Bay, Eastern District",Sales,,2024-06-28 18:00,76907674,https://hk.jobsdb.com/job/76907674
Project Manager / Assistant Project Manager - ELV and Network Projects,Headsearch21 Consultancy Ltd,,FALSE,Kowloon City District,Engineering,"$35,000 - $50,000 per month",2024-06-28 18:00,76908178,https://hk.jobsdb.com/job/76908178
Assistant Business Analyst,Postlogistics (Hong Kong) PTE Limited,,TRUE,"Ngau Tau Kok, Kwun Tong District","Manufacturing, Transport & Logistics",,2024-06-26 18:00,76842747,https://hk.jobsdb.com/job/76842747
Data Officer,Morgan Philips Hong Kong Limited,,FALSE,"Kwun Tong, Kwun Tong District",Information & Communication Technology,"$35,000 - $50,000 per month",2024-06-29 18:00,76930940,https://hk.jobsdb.com/job/76930940
