Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
Data Analyst (Oracle preferred),Jobsdb - SmartHire,3,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-17 04:00:00,76859731,https://hk.jobsdb.com/job/76859731
Data/Business Analyst / Assistant,新宇環保集團有限公司,,True,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,"$15,000 - $19,000 per month",2024-07-17 04:00:00,77322695,https://hk.jobsdb.com/job/77322695
Junior Data Analyst (APAC Ecommerce & Retail) - 35K,Techforce Group Limited,3,False,"Tsim Sha Tsui, Yau Tsim Mong District",Marketing & Communications,"$25,000 - $35,000 per month",2024-07-17 16:00:00,77347917,https://hk.jobsdb.com/job/77347917
Data Analyst / Senior Data Analyst,Lauris Walton International Limited,2,False,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-17 10:00:00,77333789,https://hk.jobsdb.com/job/77333789
Business Data Analyst,Datacube Research Centre Limited,2,False,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-17 04:00:00,74055325,https://hk.jobsdb.com/job/74055325
"Solution & Data Analyst, Service Transformation",Otis Elevator Co (HK) Limited,,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-17 04:00:00,77310438,https://hk.jobsdb.com/job/77310438
Business Analyst,Lively Impact Technology Limited,,False,"Science Park, Tai Po District",Information & Communication Technology,"$25,000 - $34,000 per month",2024-07-17 13:00:00,77341887,https://hk.jobsdb.com/job/77341887
Data Analyst (5-day Work),Centaline Data Technology Limited,,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-16 04:00:00,77278757,https://hk.jobsdb.com/job/77278757
Junior Business Analyst - Enterprise Systems and Data Analytics,Jardine Restaurant Group,1,False,Kowloon,Information & Communication Technology,,2024-07-14 04:00:00,77262749,https://hk.jobsdb.com/job/77262749
Senior Operations Data Analyst (18 months contract),Cathay Pacific Airways Ltd,5,False,"Tung Chung, Islands District",Information & Communication Technology,,2024-07-17 04:00:00,77309739,https://hk.jobsdb.com/job/77309739
"Senior Data Analyst - Company Financials, ESG, Hong Kong",Bloomberg L P,3,False,Hong Kong,Consulting & Strategy,,2024-07-17 13:00:00,77346225,https://hk.jobsdb.com/job/77346225
Data Engineer,Admazes Limited,1,False,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-18 03:00:00,77356715,https://hk.jobsdb.com/job/77356715
Data Analyst (Digital Marketing & Customer Experience),FreightAmigo Services Limited,5,False,Yau Tsim Mong District,Marketing & Communications,,2024-07-16 04:00:00,77282419,https://hk.jobsdb.com/job/77282419
Data Management Specialist,Global Sources,2,False,Southern District,Information & Communication Technology,,2024-07-13 04:00:00,77243702,https://hk.jobsdb.com/job/77243702
Data Scientist,AIVI Technologies Limited,,False,"Science Park, Tai Po District",Science & Technology,"$30,000 - $40,000 per month",2024-07-17 04:00:00,77283232,https://hk.jobsdb.com/job/77283232
Data / Business Analyst,MTM Labo Ltd,2,False,"Quarry Bay, Eastern District",Marketing & Communications,,2024-07-16 04:00:00,75233593,https://hk.jobsdb.com/job/75233593
Data Engineer - Global Property Research and Analytics,Nan Fung Development Limited,4,False,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-17 11:00:00,77336749,https://hk.jobsdb.com/job/77336749
"Specialist, Revenue Management",Hong Kong Express Airways Limited,2,True,"Airport Area, Islands District",Sales,,2024-07-17 16:00:00,77347927,https://hk.jobsdb.com/job/77347927
"VP, Team Lead, Customer Proposition Analytics, Data Chapter",DBS Bank (Hong Kong) Limited,1,False,"Quarry Bay, Eastern District",Banking & Financial Services,,2024-07-17 18:00:00,77351817,https://hk.jobsdb.com/job/77351817
Senior Data Analyst / Supervisor,Simatelex Manufactory Co Ltd,5,False,"Wong Chuk Hang, Southern District","Manufacturing, Transport & Logistics",,2024-07-16 04:00:00,75509925,https://hk.jobsdb.com/job/75509925
Business Analyst at ACT Solutions Limited,Jobsdb - SmartHire,1,False,Southern District,Information & Communication Technology,,2024-07-17 04:00:00,76987834,https://hk.jobsdb.com/job/76987834
Analyst,DFI Development (HK) Limited,1,False,"Quarry Bay, Eastern District",Banking & Financial Services,,2024-07-16 04:00:00,76887568,https://hk.jobsdb.com/job/76887568
Junior Analyst -- Talents and Organizations,KEEN CITY HOLDINGS LIMITED,1,False,"Quarry Bay, Eastern District",Human Resources & Recruitment,,2024-07-17 12:00:00,77338080,https://hk.jobsdb.com/job/77338080
"Sr. Analyst, Apparel Development",Under Armour Asia Limited,4,False,"Kowloon Bay, Kwun Tong District",Retail & Consumer Products,,2024-07-17 19:00:00,77353112,https://hk.jobsdb.com/job/77353112
"Assistant Officer, Diamond Department (Data Analysis)",CHOW TAI FOOK JEWELLERY CO LTD,3,False,"Central, Central and Western District","Manufacturing, Transport & Logistics",,2024-07-16 04:00:00,77288285,https://hk.jobsdb.com/job/77288285
"Data Engineer, Data Engineering Team (WFH Policy)",Yusen Logistics Global Management Limited,,False,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-07-17 11:00:00,77336121,https://hk.jobsdb.com/job/77336121
Business Analyst / Data Analyst,Purapharm International (H.K.) Limited,2,False,Tai Po District,Information & Communication Technology,,2024-07-06 04:00:00,77066558,https://hk.jobsdb.com/job/77066558
Business Analyst/Revenue Analyst - MNC,Michael Page International (HK) Ltd,5,False,Central and Western District,Accounting,$30k - $40k p.m.,2024-07-17 04:00:00,77321128,https://hk.jobsdb.com/job/77321128
Business Intelligence Analyst,Technicon Engineering Ltd,,False,"Kwai Fong, Kwai Tsing District",Information & Communication Technology,,2024-07-16 04:00:00,77289773,https://hk.jobsdb.com/job/77289773
Assistant Business Analyst / Business Analyst,Hong Kong Life Insurance Limited,3,True,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-17 15:00:00,77345435,https://hk.jobsdb.com/job/77345435
Business Planning Analyst at YesStyle.com Limited,Jobsdb - SmartHire,,False,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-07-17 04:00:00,76845172,https://hk.jobsdb.com/job/76845172
Senior Data Analyst / Data Architect up to 65k,Pathsight Limited,7,True,Hong Kong,Information & Communication Technology,,2024-07-15 04:00:00,77268943,https://hk.jobsdb.com/job/77268943
Business Analyst,AXA Hong Kong,3,True,"Wong Chuk Hang, Southern District",Information & Communication Technology,discretionary bonus,2024-07-17 04:00:00,77323108,https://hk.jobsdb.com/job/77323108
"System Analyst / Data Analyst (Java/OBIEE, Gov’t project)",CL Technical Services Ltd.,1,False,"Admiralty, Central and Western District",Information & Communication Technology,"$55,000 - $65,000 per month",2024-07-16 04:00:00,77281011,https://hk.jobsdb.com/job/77281011
ETL Specialist / Senior Data Analyst,Excel Technology International (Hong Kong) Limited,,False,Hong Kong,Information & Communication Technology,,2024-07-16 04:00:00,77295653,https://hk.jobsdb.com/job/77295653
D365 Business Analyst,Peoplebank Hong Kong Limited,,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-17 18:00:00,77350724,https://hk.jobsdb.com/job/77350724
"Data Analyst (Bank, 6 months contract)",PERSOLKELLY Hong Kong Limited,3,False,"Central, Central and Western District",Information & Communication Technology,,2024-07-13 04:00:00,77248237,https://hk.jobsdb.com/job/77248237
Senior Data Engineer / Data Engineer,Tam Jai International Co. Limited,5,False,Sham Shui Po District,Information & Communication Technology,,2024-07-17 19:00:00,77353140,https://hk.jobsdb.com/job/77353140
"Manager / Assistant Manager, Business Intelligence and Analytics",K11 Concepts Limited,5,True,"Tsim Sha Tsui, Yau Tsim Mong District",Real Estate & Property,,2024-07-16 04:00:00,76678199,https://hk.jobsdb.com/job/76678199
Assistant Business Analyst,AXA Hong Kong,,True,"Wong Chuk Hang, Southern District",Information & Communication Technology,work from home,2024-07-17 04:00:00,77322798,https://hk.jobsdb.com/job/77322798
Data Engineer,FUJIFILM Data Management Solutions Asia Limited,,False,"Chai Wan, Eastern District",Information & Communication Technology,,2024-07-16 04:00:00,77279807,https://hk.jobsdb.com/job/77279807
"Digital Analyst, Omni-channel Activation",Cathay Pacific Airways Ltd,2,False,"Tung Chung, Islands District",Information & Communication Technology,,2024-07-17 04:00:00,77309092,https://hk.jobsdb.com/job/77309092
Assistant Data Analyst,Arcadis,1,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,"$25,000 - $30,000 per month",2024-06-29 04:00:00,76898089,https://hk.jobsdb.com/job/76898089
"Data Analyst (Banking, Python, Tableau)",PERSOLKELLY Hong Kong Limited,3,False,"Central, Central and Western District",Information & Communication Technology,,2024-07-12 04:00:00,77201203,https://hk.jobsdb.com/job/77201203
"Senior Analytics Manager (Business Insights), Customer Data Analytics and CRM",Hang Seng Bank Ltd,1,False,Hong Kong,Banking & Financial Services,,2024-07-17 15:00:00,77344764,https://hk.jobsdb.com/job/77344764
Data Engineer (Data migration Project),Manpower Services (Hong Kong) Limited,5,False,Hong Kong Island,Information & Communication Technology,,2024-07-17 04:00:00,77309651,https://hk.jobsdb.com/job/77309651
Data & AI Specialist,"Huawei International Co., Ltd",4,False,Hong Kong Island,Information & Communication Technology,,2024-07-14 04:00:00,77264222,https://hk.jobsdb.com/job/77264222
Data Analyst,Hong Kong Technology Venture Company Limited,0,True,"Tseung Kwan O, Sai Kung District",Information & Communication Technology,,2024-07-11 04:00:00,77170636,https://hk.jobsdb.com/job/77170636
Business Analyst,Ricacorp Properties Limited,1,False,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-17 04:00:00,77305357,https://hk.jobsdb.com/job/77305357
Data Engineer,HG Innovation Limited,2,False,"Hung Hom, Kowloon City District",Information & Communication Technology,"$30,000 - $45,000 per month",2024-07-11 04:00:00,77168953,https://hk.jobsdb.com/job/77168953
Data Engineer (Python/R/Scala),Venturenix Limited,2,False,"Tseung Kwan O, Sai Kung District",Information & Communication Technology,"$28,000 - $42,000 per month",2024-07-17 11:00:00,77337013,https://hk.jobsdb.com/job/77337013
Data Analyst,Handao Technology Limited,,False,"Tuen Mun, Tuen Mun District",Information & Communication Technology,"$35,000 - $40,000 per month",2024-06-28 04:00:00,76789825,https://hk.jobsdb.com/job/76789825
Assistant Operation Manager (Data Center),ASK IT LIMITED,5,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,"$40,000 per month",2024-07-17 04:00:00,77308844,https://hk.jobsdb.com/job/77308844
Trade & Supply Chain Application L2 support,Jobsdb - SmartHire,5,False,Central and Western District,"Manufacturing, Transport & Logistics",,2024-07-17 04:00:00,77017368,https://hk.jobsdb.com/job/77017368
Retail Data Analyst (CRM/ Digital Performance),AS Watson Retail (HK) Limited,,True,"Whampoa Garden, Kowloon City District",Information & Communication Technology,,2024-07-11 04:00:00,77179318,https://hk.jobsdb.com/job/77179318
"Analyst - Payment Investigation, Technology & Operations",DBS Bank (Hong Kong) Limited,5,False,Kwun Tong District,Accounting,,2024-07-17 20:00:00,77353789,https://hk.jobsdb.com/job/77353789
Business Analyst,Man Hing Hong Properties Company Limited,3,False,"Central, Central and Western District",Information & Communication Technology,,2024-07-13 04:00:00,77236042,https://hk.jobsdb.com/job/77236042
Data Analyst - 6 Month Contract - 40-50K per month,Pure Search International Limited,,False,"Tai Koo, Eastern District",Information & Communication Technology,,2024-07-11 04:00:00,77171115,https://hk.jobsdb.com/job/77171115
Trainee – Finance Projects and Reporting (One Year Contract),Credit Agricole Corporate And Investment Bank,,True,"Admiralty, Central and Western District",Accounting,,2024-07-17 14:00:00,77343802,https://hk.jobsdb.com/job/77343802
IT Business Analyst - E-Commerce/ digital / Supply chain,Robert Walters (HK) Ltd,3,False,Central and Western District,Information & Communication Technology,"bonus, medical",2024-07-18 03:00:00,77356716,https://hk.jobsdb.com/job/77356716
"Premier Agency Development, Senior Analyst",AIA Hong Kong,,False,"Quarry Bay, Eastern District",Insurance & Superannuation,$0 - $0,2024-07-03 04:00:00,76969400,https://hk.jobsdb.com/job/76969400
Pricing & Data Analytics Manager (Gift & Premium | 35-50k),Ambition,4,False,Central and Western District,"Manufacturing, Transport & Logistics",$35k - $50k p.a.,2024-07-16 04:00:00,77291726,https://hk.jobsdb.com/job/77291726
"Group Digital, Business Analyst",Hong Kong Aircraft Engineering Co Ltd,5,True,"Airport Area, Islands District",Information & Communication Technology,,2024-07-17 15:00:00,77344899,https://hk.jobsdb.com/job/77344899
"Digital Centre of Excellence (Assistant) Manager, Business Insights",DFI Development (HK) Limited,5,False,"Quarry Bay, Eastern District",Consulting & Strategy,,2024-07-12 04:00:00,77198859,https://hk.jobsdb.com/job/77198859
Analyst,A. R. Medicom Inc. (Asia) Limited,3,False,"North Point, Eastern District","Manufacturing, Transport & Logistics",,2024-07-17 04:00:00,77321234,https://hk.jobsdb.com/job/77321234
"Deputy Manager to Senior Manager, Workout and Recovery",Industrial and Commercial Bank of China (Asia) Limited,5,False,"Ngau Tau Kok, Kwun Tong District",Banking & Financial Services,,2024-07-17 04:00:00,77319216,https://hk.jobsdb.com/job/77319216
Project Finance Analyst at an European Bank in Hong Kong,Jobsdb - SmartHire,3,False,"Admiralty, Central and Western District",Accounting,,2024-07-17 04:00:00,77014974,https://hk.jobsdb.com/job/77014974
Data Engineer - Insurance,TEKsystems,,False,"Quarry Bay, Eastern District",Information & Communication Technology,"$30,000 - $38,000 per month",2024-07-17 04:00:00,77309411,https://hk.jobsdb.com/job/77309411
Data Engineer (Informatica),CXC Global Hong Kong Limited,3,False,Hong Kong Island,Information & Communication Technology,,2024-07-11 04:00:00,77183920,https://hk.jobsdb.com/job/77183920
Junior Analyst -- Marketing,KEEN CITY HOLDINGS LIMITED,1,False,"Quarry Bay, Eastern District",Marketing & Communications,,2024-07-17 12:00:00,77338896,https://hk.jobsdb.com/job/77338896
