Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
"GIS Developer (Linux/C++/Python, over $40K)",CL Technical Services Ltd.,3,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,"$40,000 - $48,000 per month",2024-07-17 12:00:00,77340824,https://hk.jobsdb.com/job/77340824
Programmer / GIS Programmer,Esri China (Hong Kong) Ltd,,False,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-06-29 06:00:00,76912994,https://hk.jobsdb.com/job/76912994
Assistant Project Manager (IoT Implementation/ GIS),Rise Associates Asia Limited,6,False,Kwun Tong District,Engineering,,2024-07-17 06:00:00,77306180,https://hk.jobsdb.com/job/77306180
Land Surveyor (Airport Authority),Aecom Asia Company Limited,6,False,"Tung Chung, Islands District",Construction,,2024-07-17 16:00:00,76005023,https://hk.jobsdb.com/job/76005023
Land Surveyor / Assistant Land Surveyor,China State Construction Engineering (Hong Kong) Limited,8,True,Hong Kong,Construction,,2024-07-17 06:00:00,77305433,https://hk.jobsdb.com/job/77305433
Project Coordinator / GIS Specialist,Maphive Technology Limited,1,True,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-11 06:00:00,77183244,https://hk.jobsdb.com/job/77183244
Senior Land Surveyor,ASL - CRFG JV,8,True,Islands District,Construction,"$35,000 - $50,000 per month",2024-07-15 06:00:00,77267682,https://hk.jobsdb.com/job/77267682
Survey Officer,Airport Authority,1,False,"Airport Area, Islands District",Construction,,2024-07-17 10:00:00,77335045,https://hk.jobsdb.com/job/77335045
Survey Officer,Airport Authority,1,False,"Airport Area, Islands District",Construction,,2024-07-17 10:00:00,77335039,https://hk.jobsdb.com/job/77335039
Land Surveyor / Assistant Land Surveyor,China State Construction Engineering (Hong Kong) Limited,8,True,Hong Kong,Construction,,2024-07-03 06:00:00,76981446,https://hk.jobsdb.com/job/76981446
Surveyor,Airport Authority,1,False,"Airport Area, Islands District",Construction,,2024-07-11 06:00:00,77179610,https://hk.jobsdb.com/job/77179610
Surveyor/ Assistant Surveyor,Veolia Environmental Services (Hong Kong) Limited,5,True,Tuen Mun District,Construction,,2024-07-12 06:00:00,77213884,https://hk.jobsdb.com/job/77213884
"Senior Officer, Technical",Airport Authority,8,False,"Airport Area, Islands District",Engineering,,2024-07-17 09:00:00,77333908,https://hk.jobsdb.com/job/77333908
Assistant Surveyor,China Road and Bridge Corporation - HeadOffice,2,False,New Territories,Construction,,2024-07-10 06:00:00,77147759,https://hk.jobsdb.com/job/77147759
(33k - 40k) Surveyor / Assistant Surveyor,Faithful Search Limited,3,False,Central and Western District,Construction,"$33,000 - $40,000 per month",2024-07-13 06:00:00,77249801,https://hk.jobsdb.com/job/77249801
Assistant Survey Officer (Utility and Survey Department),Castco Testing Centre Ltd,,True,"Fanling, North District",Engineering,,2024-07-11 06:00:00,77170983,https://hk.jobsdb.com/job/77170983
Contract BIM Coordinator,China Harbour Engineering Co Ltd,2,False,Hong Kong,Construction,,2024-07-16 06:00:00,77284781,https://hk.jobsdb.com/job/77284781
Chainman / Assistant Surveyor,Lanon Development Limited,1,False,North District,Construction,,2024-07-12 06:00:00,77198962,https://hk.jobsdb.com/job/77198962
Senior Land Surveyor,BUCG-CCCL Joint Venture,8,True,"Tung Chung, Islands District",Engineering,,2024-07-09 06:00:00,76784900,https://hk.jobsdb.com/job/76784900
BIM Surveyor,China State Construction Engineering (Hong Kong) Limited,3,False,Hong Kong,Construction,,2024-07-12 06:00:00,77214228,https://hk.jobsdb.com/job/77214228
Surveyor,China Road and Bridge Corporation - HeadOffice,5,False,New Territories,Construction,,2024-07-10 06:00:00,77146120,https://hk.jobsdb.com/job/77146120
Accounting Manager,AY Talent Solutions Limited,8,False,"Lai Chi Kok, Sham Shui Po District",Accounting,,2024-07-17 06:00:00,77325541,https://hk.jobsdb.com/job/77325541
Surveyor/ Assistant Surveyor,Veolia Environmental Services (Hong Kong) Limited,5,True,Tuen Mun District,Construction,,2024-07-06 06:00:00,77076867,https://hk.jobsdb.com/job/77076867
"Analyst Programmer (T26 / C++, GIS; aircraft wake turbulence detection project)",PERSOLKELLY Hong Kong Limited,3,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-06-27 06:00:00,76833397,https://hk.jobsdb.com/job/76833397
BIM Modeler (Ref: JD/BIMC),Build King Management Limited,3,False,Hong Kong,Design & Architecture,,2024-07-04 06:00:00,77009289,https://hk.jobsdb.com/job/77009289
Project Coordinator (Retail IT Project),ServiceOne Limited,1,False,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-17 06:00:00,77314797,https://hk.jobsdb.com/job/77314797
5G/6G Protocol & Application Software Design - Snr Lead Engineer / Snr Engineer,Hong Kong Applied Science and Technology Research Institute Company Limited,3,False,Sha Tin District,Engineering,,2024-06-28 06:00:00,76869590,https://hk.jobsdb.com/job/76869590
2024 Graduate - Assistant Consultant (Environmental),Aurecon Hong Kong Limited,,False,"Kwun Tong, Kwun Tong District",Science & Technology,,2024-07-15 06:00:00,77270474,https://hk.jobsdb.com/job/77270474
IT Project specialist - Infrastructure projects,CXC Global Hong Kong Limited,,False,New Territories,Information & Communication Technology,"$40,000 - $49,217 per month",2024-07-17 11:00:00,77336164,https://hk.jobsdb.com/job/77336164
