Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Classification,Posted Date,Job ID,URL,Exaction Location,District,Area,Min_Salary,Max_Salary
"Group Digital, Business Analyst",Hong Kong Aircraft Engineering Co Ltd,5,True,Information & Communication Technology,2024-07-17 14:00:00,77344899,https://hk.jobsdb.com/job/77344899,Airport Area,Islands,New Territories,0,0
Business Analyst,Lively Impact Technology Limited,,False,Information & Communication Technology,2024-07-17 12:00:00,77341887,https://hk.jobsdb.com/job/77341887,Science Park,Tai Po,New Territories,25000,34000
Business Analyst at ACT Solutions Limited,Jobsdb - SmartHire,1,False,Information & Communication Technology,2024-07-17 06:00:00,76987834,https://hk.jobsdb.com/job/76987834,,Southern,Hong Kong,0,0
IT Business Analyst,FUJIFILM BI,2,False,Information & Communication Technology,2024-07-17 11:00:00,77338381,https://hk.jobsdb.com/job/77338381,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
Assistant Business Analyst / Business Analyst,Hong Kong Life Insurance Limited,3,True,Information & Communication Technology,2024-07-17 14:00:00,77345435,https://hk.jobsdb.com/job/77345435,Sheung Wan,Central and Western,Hong Kong,0,0
Project Executive/ Associate Business Analyst,Million Tech Development Ltd,1,False,Information & Communication Technology,2024-07-17 11:00:00,77339809,https://hk.jobsdb.com/job/77339809,Lai Chi Kok,Sham Shui Po,Kowloon,0,0
Data/Business Analyst / Assistant,新宇環保集團有限公司,,True,Information & Communication Technology,2024-07-17 06:00:00,77322695,https://hk.jobsdb.com/job/77322695,Kowloon Bay,Kwun Tong,Kowloon,15000,19000
Leading insurance MNC - Business Analyst,Gravitas Recruitment Group (Hong Kong) Limited,4,False,Accounting,2024-07-17 15:00:00,77347712,https://hk.jobsdb.com/job/77347712,,Central and Western,Hong Kong,25000,40000
IT Business Analyst,JFE Consulting Limited,,False,Information & Communication Technology,2024-07-18 00:00:00,77356417,https://hk.jobsdb.com/job/77356417,,,Kowloon,0,0
IT Technology Business Analyst/ ERP Consultant/ Project Specialist,Recreate System Limited,0,True,Information & Communication Technology,2024-07-17 06:00:00,77319271,https://hk.jobsdb.com/job/77319271,Sheung Wan,Central and Western,Hong Kong,0,0
Business Analyst - Large Digital Project - Attractive Salary,TEKsystems,4,False,Information & Communication Technology,2024-07-17 11:00:00,77340273,https://hk.jobsdb.com/job/77340273,Quarry Bay,Eastern,Hong Kong,35000,50000
Business Analyst,AXA Hong Kong,3,True,Information & Communication Technology,2024-07-17 06:00:00,77323108,https://hk.jobsdb.com/job/77323108,Wong Chuk Hang,Southern,Hong Kong,0,0
Business Analyst / IT Development Group / (WFH Policy) Ref: SPDD,Yusen Logistics Global Management Limited,3,False,Information & Communication Technology,2024-07-17 17:00:00,77350321,https://hk.jobsdb.com/job/77350321,Kwai Hing,Kwai Tsing,New Territories,0,0
Business Analyst/ Senior Business Analyst,New World Development Co Ltd,2,False,Information & Communication Technology,2024-07-17 11:00:00,77340367,https://hk.jobsdb.com/job/77340367,Lai Chi Kok,Sham Shui Po,Kowloon,0,0
Business Analyst (Banking),Ambition,3,True,Information & Communication Technology,2024-07-17 14:00:00,77345907,https://hk.jobsdb.com/job/77345907,,Central and Western,Hong Kong,30000,60000
IT Business Analyst - E-Commerce/ digital / Supply chain,Robert Walters (HK) Ltd,3,False,Information & Communication Technology,2024-07-18 02:00:00,77356716,https://hk.jobsdb.com/job/77356716,,Central and Western,Hong Kong,0,0
Business Analysis Officer,City Super Limited,3,False,Banking & Financial Services,2024-07-17 16:00:00,76570638,https://hk.jobsdb.com/job/76570638,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
"Business Analyst, Strategic Projects, Product Development (1-year contract)",FTLife Insurance Company Limited,2,False,Information & Communication Technology,2024-07-17 06:00:00,77312403,https://hk.jobsdb.com/job/77312403,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
D365 Business Analyst,Peoplebank Hong Kong Limited,,False,Information & Communication Technology,2024-07-17 17:00:00,77350724,https://hk.jobsdb.com/job/77350724,Kowloon Bay,Kwun Tong,Kowloon,0,0
Junior Business Analyst - Enterprise Systems and Data Analytics,Jardine Restaurant Group,1,False,Information & Communication Technology,2024-07-14 06:00:00,77262749,https://hk.jobsdb.com/job/77262749,,,Kowloon,0,0
(Senior) Digital Business Analyst,AXA Hong Kong,2,False,Information & Communication Technology,2024-07-17 06:00:00,77308696,https://hk.jobsdb.com/job/77308696,,Central and Western,Hong Kong,0,0
Business Analyst,Man Hing Hong Properties Company Limited,3,False,Information & Communication Technology,2024-07-13 06:00:00,77236042,https://hk.jobsdb.com/job/77236042,Central,Central and Western,Hong Kong,0,0
Business Analyst,Ricacorp Properties Limited,1,False,Information & Communication Technology,2024-07-17 06:00:00,77305357,https://hk.jobsdb.com/job/77305357,Wan Chai,Wan Chai,Hong Kong,0,0
Assistant IT Project Manager- APAC,OnTheList Limited,,False,Information & Communication Technology,2024-07-17 06:00:00,77320488,https://hk.jobsdb.com/job/77320488,Quarry Bay,Eastern,Hong Kong,0,0
Business Analyst (E-Commerce),DCH Business Innovations,,False,Information & Communication Technology,2024-07-17 06:00:00,77318917,https://hk.jobsdb.com/job/77318917,Kowloon Bay,Kwun Tong,Kowloon,0,0
Business Analyst - Insurance,Captar Partners Limited,3,False,Information & Communication Technology,2024-07-17 06:00:00,77310187,https://hk.jobsdb.com/job/77310187,,Central and Western,Hong Kong,550000,700000
Data Analyst (Oracle preferred),Jobsdb - SmartHire,3,False,Information & Communication Technology,2024-07-17 06:00:00,76859731,https://hk.jobsdb.com/job/76859731,Quarry Bay,Eastern,Hong Kong,0,0
Backend Developer (Business Analyst),UBS AG,,False,Information & Communication Technology,2024-07-17 22:00:00,77358926,https://hk.jobsdb.com/job/77358926,,,Hong Kong,0,0
Assistant Business Analyst,AXA Hong Kong,,True,Information & Communication Technology,2024-07-17 06:00:00,77322798,https://hk.jobsdb.com/job/77322798,Wong Chuk Hang,Southern,Hong Kong,0,0
"Business Analyst - AI - Call Centre Revamp project- HKD 45,000 per month",Techforce Group Limited,,False,Information & Communication Technology,2024-07-17 06:00:00,77317942,https://hk.jobsdb.com/job/77317942,,Central and Western,Hong Kong,35000,45000
Business Analyst - Associate - Technology Service Operations (R001944),Hong Kong Exchanges & Clearing Ltd,2,False,Banking & Financial Services,2024-07-17 12:00:00,77342315,https://hk.jobsdb.com/job/77342315,,,Hong Kong,0,0
"Analyst - Payment Investigation, Technology & Operations",DBS Bank (Hong Kong) Limited,5,False,Accounting,2024-07-17 20:00:00,77353789,https://hk.jobsdb.com/job/77353789,,Kwun Tong,Kowloon,0,0
Technology – ERP/ CRM Business Analyst,Accenture Technology Solutions (HK) Ltd,2,False,Information & Communication Technology,2024-07-17 06:00:00,77315642,https://hk.jobsdb.com/job/77315642,,,Kowloon,0,0
