Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.
Senior Business Analyst (Digital / Mobile Projects),Cherrypicks Limited,3,True
Senior Project Executive/ Business Analyst (5 days work),Tech Nine Limited,2,True
(UP to 50K) Senior Business Analyst / UAT Officer (Banking and Insurance),Seamatch Asia Limited,3,True
Senior ERP Business Analyst (2-year contract) (Ref: JD/CSBA/04/2024),Citybus Limited,4,True
Associate/ Senior Associate  (Project Management),Jobsdb - SmartHire,1,True
"Senior Associate/Associate, Procurement Operations, Technology & Operations",DBS Bank (Hong Kong) Limited,2,True
Senior Business Analyst - Shared Service Application,Maxim's Caterers Limited,3,True
(Senior) Business Analyst (Ref: CC240711-01),Peoplus Recruitment,4,True
(Senior) Business Analyst (Ref: IT/MEP),ATAL Engineering Ltd,3,True
(UP to 50K) Senior Business Analyst / UAT Officer (Banking and Insurance),Seamatch Asia Limited,3,True
Senior Data Analyst / Data Architect up to 65k,Pathsight Limited,7,True
Senior Information Technology Manager - Project Management & Business Analysis,"Nanyang Commercial Bank, Limited",1,True
Senior Business Development Officer(Virtual Banking),HKT Teleservices,,True
Senior Business Analyst,Savills (Hong Kong) Limited,5,True
Life Insurance System Projects: BA / Senior BA - Major Bank,IT Solutions Ltd.,1,True
Senior Web/Application Developer,GrammyTech Limited,4,True
Project Manager/ Senior System Analyst,Conners Consulting Limited,8,True
Senior Trade Executive - Product Innovation & Development (New Headcount),Tycoon Management Limited,2,True
Senior Accounts Executive / Accounts Executive (Ecommerce),91App HK Limited,2,True
Senior Analyst Programmer (AO-492-J),BOCI-Prudential Asset Management Ltd,5,True
"Senior Manager, Product Management (Chemicals)",Goldfinity Company Limited,8,True
(Senior) System Analyst - ERP Finance System,Swire Properties Limited 太古地產有限公司,5,True
Business Analyst / Senior Business Analyst / Project Manager,Quam Securities Limited,2,True
Mobile Banking (FinTech): Senior BA / BA - Major Bank,IT Solutions Ltd.,,True
Senior IT Officer / IT Officer (Retail),Big C (HK) Company Limited,4,True
Senior / Client Service Administrator (Pension Administration) - Welcome...,BOCI-Prudential Trustee Limited,1,True
Senior / Sales Operations Planning Executive (General Trade),Swire Coca-Cola HK Ltd,2,True
"Senior Consultant, Intelligent Manufacturing",Hong Kong Productivity Council,1,True
"Senior Associate / Associate, Fund Administration, Technology & Operations",DBS Bank (Hong Kong) Limited,4,True
Senior Solution Lead - Cargo,Cathay Pacific Airways Ltd,,True
Senior Business Analyst /  Business Analyst,Master Communications Limited,2,True
"Senior Officer / Officer, System Analyst",The Great Eagle Co Ltd,3,True
Program Manager / Senior Project Manager - Infrastructure,Arcadis,1,True
Senior Project Coordinator,"Apex Curtain Wall & Engineering Co., Limited",5,True
"Senior Sales Executive, Wholesales, Asia Pacific (1-year contract)",PVH Asia Limited,5,True
Senior Project Officer,PCCW Global Limited,1,True
Senior Project Manager / Project Manager - Critical Facilities (MEP) Data Centre,Arcadis,1,True
Senior Business Analyst (Digital Marketing),Hong Kong Broadband Network Limited (HKBN),3,True
Senior E-commerce Executive (China Market),Strawberry Cosmetics (Services) Limited,2,True
Senior System Analyst,Wai Yuen Tong Medicine Co Ltd,6,True
"AVP/ Senior Associate/ Associate, Specialist, Data/Business Analytics (Campaign",DBS Bank (Hong Kong) Limited,3,True
Assistant Product Manager /Senior Product Executive (IT products and solution),Sen Spirit Technology Limited,3,True
Senior IT Officer (System Analyst),Kai Shing Management Services Ltd,6,True
(Senior) IT Officer,Toshiba Hong Kong Ltd,2,True
Jewellery Sales Advisor / Senior Advisor 珠寶銷售顧問 及 高級銷售顧問,King Fook Holdings Ltd,,True
Group Senior CRM Analytics Manager / Group CRM Analytics Manager,Tam Jai International Co. Limited,7,True
Senior / Business Intelligence Analyst,AS Watson Retail (HK) Limited,2,True
Senior Manager / Manager - Commercial Insight Analysis,AS Watson Retail (HK) Limited,8,True
Senior Project Officer,HKT,1,True
Senior IT Project Manager,"Huawei International Co., Ltd",5,True
"Assistant Manager / Senior / Junior Executive, Project Management",Makeitloud Marketing Limited,1,True
"Senior Project Executive / Assistant Project Manager (Advertising, video&event)",HK01 Company Limited,3,True
